iter	Logloss
210	0.1534743991
211	0.1532529064
212	0.1532288397
213	0.1531938842
214	0.1530376207
215	0.1528984772
216	0.1528370475
217	0.1526935506
218	0.1525122314
219	0.1524798639
220	0.1523857424
221	0.1523311035
222	0.1522636876
223	0.1522172346
224	0.1521198698
225	0.1520430462
226	0.1519469329
227	0.1518781092
228	0.1517929588
229	0.1517191313
230	0.1516430724
231	0.1515434959
232	0.151460702
233	0.1514095791
234	0.1511989458
235	0.1510533885
236	0.1508715934
237	0.1508189388
238	0.1506850696
239	0.1505870044
240	0.150501435
241	0.1504434388
242	0.1502955165
243	0.15025116
244	0.1501601572
245	0.1501068515
246	0.150061903
247	0.15000092
248	0.1499237451
249	0.1498669351
250	0.1497169703
251	0.1496398506
252	0.1495741174
253	0.1495228903
254	0.1494532079
255	0.1493840831
256	0.1492701248
257	0.1492176909
258	0.149069094
259	0.1489065876
260	0.1487558835
261	0.1486154906
262	0.148449302
263	0.1482918925
264	0.1481405229
265	0.1479722605
266	0.1478097491
267	0.1477289087
268	0.1475688089
269	0.1475203714
270	0.1474442775
271	0.1473497738
272	0.1471925033
273	0.1470633767
274	0.146962384
275	0.1468163097
276	0.1466506249
277	0.1465853763
278	0.1465175881
279	0.1464560988
280	0.1463844934
281	0.1463334006
282	0.1462155215
283	0.1461512037
284	0.1460122458
285	0.1459455057
286	0.1458851195
287	0.1458524151
288	0.1458193046
289	0.1457139735
290	0.1456310757
291	0.1455751951
292	0.1455172073
293	0.1453993547
294	0.1453552825
295	0.145235944
296	0.145198522
297	0.1451559323
298	0.1450351075
299	0.1450041868
300	0.1449260307
301	0.1448224635
302	0.1447277862
303	0.1446016301
304	0.1445413256
305	0.1444975361
306	0.1444383408
307	0.1443041518
308	0.144246001
309	0.1442103743
310	0.1440835658
311	0.1439684207
312	0.1438937874
313	0.1438127362
314	0.1437480733
315	0.1437055861
316	0.1436735217
317	0.1436263396
318	0.1435104929
319	0.1435048463
320	0.1434495729
321	0.1434027997
322	0.1432998625
323	0.1432587089
324	0.1431835101
325	0.1431308332
326	0.1430175989
327	0.143013193
328	0.1429122544
329	0.1428779454
330	0.1427794574
331	0.1427270573
332	0.1426974757
333	0.142599086
334	0.1424928743
335	0.1424038587
336	0.1423784767
337	0.1422658645
338	0.1422233205
339	0.1421725766
340	0.1420182935
341	0.1419793298
342	0.1418860583
343	0.1417845013
344	0.1416867317
345	0.1416289301
346	0.1414803454
347	0.1414115633
348	0.1413251754
349	0.1412878601
350	0.1412212273
351	0.1411678819
352	0.1410904988
353	0.1410690981
354	0.1410399809
355	0.1410063525
356	0.1409280211
357	0.1408509922
358	0.1407526429
359	0.14065435
360	0.1405792461
361	0.1404892706
362	0.1404269575
363	0.1403594634
364	0.1402955331
365	0.1402126762
366	0.1401725045
367	0.1400364181
368	0.14000167
369	0.1399695418
370	0.1399021994
371	0.1397554094
372	0.1397068989
373	0.1395754024
374	0.1395258424
375	0.1394054549
376	0.1393334642
377	0.1392860955
378	0.1392338837
379	0.1391644272
380	0.1391236114
381	0.139060715
382	0.1390317742
383	0.1389839401
384	0.1388784479
385	0.1388348081
386	0.1388186154
387	0.1386958495
388	0.1386519114
389	0.1386014664
390	0.1385916959
391	0.1385547039
392	0.1384866734
393	0.1384446812
394	0.1384065299
395	0.1383352249
396	0.1382180149
397	0.1381856677
398	0.1381660348
399	0.1380730187
400	0.1380149067
401	0.1379407481
402	0.1379068048
403	0.1378550402
404	0.1378058906
405	0.1377388627
406	0.1376947824
407	0.1376687113
408	0.1375990031
409	0.1375428834
410	0.1374775528
411	0.1373923652
412	0.1373372197
413	0.1372237703
414	0.137155425
415	0.1371111251
416	0.1370736234
417	0.1370028937
418	0.1369667199
419	0.136915835
420	0.1368694294
421	0.1368225932
422	0.1367265885
423	0.1366501175
424	0.1365666595
425	0.1365282943
426	0.1364953599
427	0.1364568964
428	0.1364371017
429	0.1363783181
430	0.136338613
431	0.1362413922
432	0.1361784877
433	0.1361306787
434	0.1360913626
435	0.136036601
436	0.135978889
437	0.1359043417
438	0.1358576966
439	0.1358153318
440	0.1357322993
441	0.1356989704
442	0.1356351487
443	0.1355700091
444	0.1355143035
445	0.1354566869
446	0.1354017215
447	0.1353420947
448	0.1352960442
449	0.1352436613
450	0.1352145281
451	0.1352003163
452	0.1351351147
453	0.1350490649
454	0.1349882002
455	0.1349710157
456	0.1349431105
457	0.1349095548
458	0.1348959774
459	0.1348504073
460	0.134801185
461	0.134738327
462	0.1347256807
463	0.1346974207
464	0.1346565737
465	0.134616455
466	0.1345754362
467	0.1345340874
468	0.1344994703
469	0.134416465
470	0.1343407258
471	0.134250072
472	0.1342120725
473	0.1341707737
474	0.1341419479
475	0.1341041533
476	0.1340528636
477	0.1339667408
478	0.1339140891
479	0.1338451923
480	0.1338040739
481	0.1337699395
482	0.1337287319
483	0.1336658979
484	0.1335960872
485	0.1335059863
486	0.1334466337
487	0.1334196152
488	0.1333784183
489	0.1333418449
490	0.1332895768
491	0.1332451529
492	0.1331735064
493	0.1331384535
494	0.133098005
495	0.1330860794
496	0.1330487211
497	0.132991938
498	0.1329318085
499	0.1328657942
500	0.1328124731
501	0.1327667617
502	0.1327319727
503	0.132709649
504	0.132664414
505	0.1325950442
506	0.1325384048
507	0.1324602052
508	0.1324101666
509	0.1323822233
510	0.1323442379
511	0.1322891831
512	0.1322310654
513	0.1321646259
514	0.1321111332
515	0.1320545967
516	0.1320083074
517	0.1319708762
518	0.1319609305
519	0.131916599
520	0.1318633017
521	0.1318094863
522	0.1317617016
523	0.1317116356
524	0.1316625705
525	0.1316549403
526	0.1315949739
527	0.1315199992
528	0.1314694612
529	0.1314279626
530	0.1313947722
531	0.1313544278
532	0.1312829561
533	0.1312318632
534	0.1311873206
535	0.1311269383
536	0.1310898797
537	0.1310441765
538	0.1309794018
539	0.13092602
540	0.1308827911
541	0.1308117845
542	0.1307688969
543	0.1307304686
544	0.1306857488
545	0.1306810017
546	0.1306445623
547	0.1305964774
548	0.1305537974
549	0.130520106
550	0.1304997575
551	0.1304493707
552	0.1304014389
553	0.1303349569
554	0.1302970447
555	0.1302714016
556	0.1302292301
557	0.1301942487
558	0.1301550413
559	0.1301235799
560	0.1300821585
561	0.1300383196
562	0.1299974546
563	0.1299547101
564	0.1298919818
565	0.1298723293
566	0.1298035705
567	0.1297521094
568	0.129734475
569	0.1296813821
570	0.1296100988
571	0.1295430893
572	0.1295020588
573	0.1294836071
574	0.1294470189
575	0.129399941
576	0.1293357983
577	0.1292974199
578	0.129269469
579	0.1292292251
580	0.12916514
581	0.1291342532
582	0.1290976029
583	0.1290654715
584	0.1290266731
585	0.1289984738
586	0.1289642539
587	0.1289044777
588	0.1288669202
589	0.1288294558
590	0.1287795931
591	0.1287213671
592	0.1286917059
593	0.1286661301
594	0.1286337082
595	0.1286023387
596	0.1285867052
597	0.1285675423
598	0.1285145221
599	0.1284588929
600	0.1284288892
601	0.128382219
602	0.128362812
603	0.1283268153
604	0.1282745422
605	0.1282437291
606	0.1282203223
607	0.1281986981
608	0.1281645499
609	0.1281362076
610	0.1280780044
611	0.1280561421
612	0.128025456
613	0.1279923773
614	0.1279513542
615	0.1279000895
616	0.1278603548
617	0.1278199179
618	0.1277997093
619	0.1277562261
620	0.1277351668
621	0.1276937391
622	0.1276642212
623	0.1276387339
624	0.1276203016
625	0.1275754508
626	0.1275405756
627	0.1275294427
628	0.1275030763
629	0.1274677578
630	0.1273991315
631	0.1273510747
632	0.1273120084
633	0.127259072
634	0.1272315922
635	0.1272069639
636	0.1271361807
637	0.1271136357
638	0.1270716518
639	0.1270537713
640	0.1270263491
641	0.1269645838
642	0.1269291314
643	0.1268964171
644	0.1268637825
645	0.1268305651
646	0.1267741974
647	0.126722684
648	0.1266914196
649	0.1266318565
650	0.1266061797
651	0.1265883277
652	0.1265395946
653	0.1264974366
654	0.1264523259
655	0.1264294558
656	0.1263886439
657	0.1263465427
658	0.1262978024
659	0.1262702677
660	0.1262379694
661	0.1262013339
662	0.1261611398
663	0.1261225123
664	0.1260773547
665	0.1260640469
666	0.1259803674
667	0.125933746
668	0.1259049799
669	0.1258682581
670	0.1258455224
671	0.1257797061
672	0.1257030234
673	0.1256525481
674	0.1256177305
675	0.1255782173
676	0.1255342776
677	0.1254961336
678	0.125439268
679	0.1254118962
680	0.1253653139
681	0.1253478231
682	0.1253017242
683	0.1252599505
684	0.1252353442
685	0.1251967957
686	0.1251659373
687	0.1251338794
688	0.1250940681
689	0.1250444146
690	0.1250156985
691	0.1249693557
692	0.1249267726
693	0.124900701
694	0.1248556935
695	0.1248135668
696	0.1247911985
697	0.1247559585
698	0.1246868826
699	0.1246482577
700	0.1246185851
701	0.1245707508
702	0.1244870151
703	0.1244365019
704	0.1243971427
705	0.1243690476
706	0.1243369213
707	0.1242894901
708	0.1242527741
709	0.1242080975
710	0.1241814799
711	0.1241459838
712	0.1240937221
713	0.1240585512
714	0.1240346825
715	0.1240073869
716	0.1239406217
717	0.1238954173
718	0.1238620091
719	0.123828599
720	0.1237729157
721	0.1237164867
722	0.1236829609
723	0.1236461819
724	0.1236184311
725	0.1235788203
726	0.1235218076
727	0.1234692701
728	0.1234376464
729	0.123409852
730	0.1233749827
731	0.123355357
732	0.1233159219
733	0.1232843877
734	0.1232555803
735	0.1232151483
736	0.1231860842
737	0.1231494643
738	0.1231069587
739	0.1230689799
740	0.1230310674
741	0.1230175965
742	0.1229920414
743	0.1229720963
744	0.1229567476
745	0.1229255442
746	0.1228960584
747	0.1228279999
748	0.1228139651
749	0.1227902138
750	0.1227563959
751	0.1227108822
752	0.1226840232
753	0.1226665956
754	0.1226570834
755	0.1226402502
756	0.1225850525
757	0.1225440807
758	0.1225260432
759	0.1224668818
760	0.1224261869
761	0.1224013168
762	0.1223681585
763	0.1223318421
764	0.1222869142
765	0.1222506001
766	0.1222319641
767	0.1222163194
768	0.1222061999
769	0.1221605463
770	0.122106452
771	0.122070231
772	0.1220149209
773	0.1219711393
774	0.1219115553
775	0.1218723501
776	0.1218201004
777	0.1217807647
778	0.1217410702
779	0.1217089622
780	0.1216698324
781	0.1216271671
782	0.1216023118
783	0.1215514305
784	0.1215046582
785	0.1214505264
786	0.1214322808
787	0.1214043411
788	0.1213785855
789	0.1213335151
790	0.1213148548
791	0.1212585934
792	0.1212320804
793	0.1212031651
794	0.1211509665
795	0.1211204276
796	0.1210812972
797	0.1210358679
798	0.1209999843
799	0.1209613029
800	0.1208977477
801	0.1208621348
802	0.1208569168
803	0.120844571
804	0.1208047453
805	0.1207695658
806	0.1207198225
807	0.1206806744
808	0.1206389813
809	0.1206029528
810	0.1205643958
811	0.1205288051
812	0.1204751405
813	0.1204617646
814	0.1204244181
815	0.1203779203
816	0.120334408
817	0.12028765
818	0.1202670416
819	0.1202340399
820	0.1201622215
821	0.1201061825
822	0.1200628516
823	0.1200476056
824	0.1199974387
825	0.1199620421
826	0.1199191567
827	0.1199078576
828	0.1198777301
829	0.1198674083
830	0.1198134777
831	0.1197985469
832	0.1197599609
833	0.1197304125
834	0.1196843615
835	0.1196459785
836	0.1196056225
837	0.1195853618
838	0.1195374147
839	0.119496398
840	0.1194610446
841	0.1194189645
842	0.1193990193
843	0.1193447092
844	0.1193148211
845	0.1192784431
846	0.1192568447
847	0.1192334398
848	0.1191928278
849	0.1191585231
850	0.1191093274
851	0.1190719703
852	0.1190385336
853	0.1190132659
854	0.1189846867
855	0.1189553364
856	0.1189170613
857	0.1188828297
858	0.1188568042
859	0.1188110536
860	0.118785018
861	0.1187282021
862	0.1187104248
863	0.1186664083
864	0.1186376394
865	0.1186209048
866	0.1185853955
867	0.1185624963
868	0.1185309624
869	0.1184936378
870	0.1184351265
871	0.1184114833
872	0.1183551283
873	0.1183179532
874	0.1182750662
875	0.118235145
876	0.1181998946
877	0.1181677123
878	0.1181270887
879	0.1180927075
880	0.1180558556
881	0.1180230251
882	0.1179965829
883	0.1179502902
884	0.1179153195
885	0.1178808793
886	0.1178533068
887	0.1178333885
888	0.1178155758
889	0.1177883643
890	0.117763728
891	0.1177274748
892	0.1176773882
893	0.1176349185
894	0.1176039666
895	0.1175746927
896	0.1175392241
897	0.1175118351
898	0.1174757384
899	0.1174467362
900	0.1174076716
901	0.1173590466
902	0.1173386774
903	0.117326808
904	0.1172966347
905	0.1172618468
906	0.1172421676
907	0.1171940067
908	0.1171675414
909	0.1171342302
910	0.1171172986
911	0.1170849237
912	0.11705499
913	0.117028702
914	0.1169950263
915	0.1169593834
916	0.1169062763
917	0.1168926498
918	0.1168785596
919	0.1168483521
920	0.1168402333
921	0.1168283137
922	0.1168225061
923	0.1167995739
924	0.1167676695
925	0.1167450286
926	0.1167285978
927	0.1167027289
928	0.1166897907
929	0.1166272774
930	0.1166077734
931	0.1165602435
932	0.1165395762
933	0.1165064728
934	0.1164751381
935	0.1164241459
936	0.1163900677
937	0.1163684293
938	0.1163159427
939	0.1162870086
940	0.1162584253
941	0.1162341631
942	0.1161949511
943	0.1161728445
944	0.1161357329
945	0.1161168736
946	0.1160911093
947	0.1160676927
948	0.1160275195
949	0.115987498
950	0.1159634865
951	0.1159330054
952	0.1159034721
953	0.1158778307
954	0.1158584939
955	0.1158135844
956	0.115783529
957	0.1157222821
958	0.1157128519
959	0.1156809254
960	0.1156613655
961	0.1156334746
962	0.1155947963
963	0.1155601085
964	0.115513559
965	0.1154609033
966	0.1154205205
967	0.1153997206
968	0.1153717006
969	0.1153388443
970	0.1153126429
971	0.1152923109
972	0.1152527294
973	0.1152355511
974	0.1151984757
975	0.1151638736
976	0.1151335289
977	0.1150629639
978	0.1150458047
979	0.1150230619
980	0.1149793405
981	0.1149494582
982	0.1149135947
983	0.1148702933
984	0.1148316955
985	0.1147830545
986	0.114758678
987	0.1147308414
988	0.11469067
989	0.114661355
990	0.1146440435
991	0.1145822202
992	0.1145613151
993	0.114524403
994	0.1144983749
995	0.1144892822
996	0.1144545796
997	0.1144209674
998	0.1143895735
999	0.1143565022
